episode_id,transition_key,run_id,generated_at_utc,benchmark_suite,compiler_gym_version,compiler_version,host_name,python_version,benchmark_uri,episode_index,step_index,pass_id,pass_name,pass_flag,pass_position,previous_pass_sequence,reward_space,raw_step_reward,hybrid_reward,runtime_improvement,ir_improvement,size_improvement,cumulative_reward,pass_success,action_had_no_effect,done,termination_reason,step_walltime_sec,error_type,error_message,pre_state_id,pre_ir_instruction_count,pre_object_text_size_bytes,pre_total_basic_blocks,pre_total_functions,pre_total_instructions,pre_total_memory_instructions,post_state_id,post_ir_instruction_count,post_object_text_size_bytes,post_total_basic_blocks,post_total_functions,post_total_instructions,post_total_memory_instructions,pre_autophase_BBNumArgsHi,pre_autophase_BBNumArgsLo,pre_autophase_onePred,pre_autophase_onePredOneSuc,pre_autophase_onePredTwoSuc,pre_autophase_oneSuccessor,pre_autophase_twoPred,pre_autophase_twoPredOneSuc,pre_autophase_twoEach,pre_autophase_twoSuccessor,pre_autophase_morePreds,pre_autophase_BB03Phi,pre_autophase_BBHiPhi,pre_autophase_BBNoPhi,pre_autophase_BeginPhi,pre_autophase_BranchCount,pre_autophase_returnInt,pre_autophase_CriticalCount,pre_autophase_NumEdges,pre_autophase_const32Bit,pre_autophase_const64Bit,pre_autophase_numConstZeroes,pre_autophase_numConstOnes,pre_autophase_UncondBranches,pre_autophase_binaryConstArg,pre_autophase_NumAShrInst,pre_autophase_NumAddInst,pre_autophase_NumAllocaInst,pre_autophase_NumAndInst,pre_autophase_BlockMid,pre_autophase_BlockLow,pre_autophase_NumBitCastInst,pre_autophase_NumBrInst,pre_autophase_NumCallInst,pre_autophase_NumGetElementPtrInst,pre_autophase_NumICmpInst,pre_autophase_NumLShrInst,pre_autophase_NumLoadInst,pre_autophase_NumMulInst,pre_autophase_NumOrInst,pre_autophase_NumPHIInst,pre_autophase_NumRetInst,pre_autophase_NumSExtInst,pre_autophase_NumSelectInst,pre_autophase_NumShlInst,pre_autophase_NumStoreInst,pre_autophase_NumSubInst,pre_autophase_NumTruncInst,pre_autophase_NumXorInst,pre_autophase_NumZExtInst,pre_autophase_TotalBlocks,pre_autophase_TotalInsts,pre_autophase_TotalMemInst,pre_autophase_TotalFuncs,pre_autophase_ArgsPhi,pre_autophase_testUnary,post_autophase_BBNumArgsHi,post_autophase_BBNumArgsLo,post_autophase_onePred,post_autophase_onePredOneSuc,post_autophase_onePredTwoSuc,post_autophase_oneSuccessor,post_autophase_twoPred,post_autophase_twoPredOneSuc,post_autophase_twoEach,post_autophase_twoSuccessor,post_autophase_morePreds,post_autophase_BB03Phi,post_autophase_BBHiPhi,post_autophase_BBNoPhi,post_autophase_BeginPhi,post_autophase_BranchCount,post_autophase_returnInt,post_autophase_CriticalCount,post_autophase_NumEdges,post_autophase_const32Bit,post_autophase_const64Bit,post_autophase_numConstZeroes,post_autophase_numConstOnes,post_autophase_UncondBranches,post_autophase_binaryConstArg,post_autophase_NumAShrInst,post_autophase_NumAddInst,post_autophase_NumAllocaInst,post_autophase_NumAndInst,post_autophase_BlockMid,post_autophase_BlockLow,post_autophase_NumBitCastInst,post_autophase_NumBrInst,post_autophase_NumCallInst,post_autophase_NumGetElementPtrInst,post_autophase_NumICmpInst,post_autophase_NumLShrInst,post_autophase_NumLoadInst,post_autophase_NumMulInst,post_autophase_NumOrInst,post_autophase_NumPHIInst,post_autophase_NumRetInst,post_autophase_NumSExtInst,post_autophase_NumSelectInst,post_autophase_NumShlInst,post_autophase_NumStoreInst,post_autophase_NumSubInst,post_autophase_NumTruncInst,post_autophase_NumXorInst,post_autophase_NumZExtInst,post_autophase_TotalBlocks,post_autophase_TotalInsts,post_autophase_TotalMemInst,post_autophase_TotalFuncs,post_autophase_ArgsPhi,post_autophase_testUnary,delta_ir_instruction_count,delta_object_text_size_bytes,pre_runtime_median_sec,post_runtime_median_sec
e197e4ddea822211a34554b9,b4b81205303be2d5,3c479f8b47354c76a1827a0744e0ae47,2026-08-10T14:07:21.360916+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/blowfish,0,0,1,-adce,-adce,0,[],IrInstructionCountO3,0.0,4.295092216317601,0.07158487027196,0.0,0.0,4.295092216317601,True,True,True,action_no_effect,0.028120290488004684,,,ae3ca982f7cfe329696b91fa22feba31270193da,3898,,136,22,3898,2551,ae3ca982f7cfe329696b91fa22feba31270193da,3898,,136,22,3898,2551,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,933,201,337,77,590,0,183,93,231,33,101,114,120,159,457,43,168,1205,0,63,2,8,28,0,65,637,7,102,113,91,136,3898,2551,22,4,1633,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,933,201,337,77,590,0,183,93,231,33,101,114,120,159,457,43,168,1205,0,63,2,8,28,0,65,637,7,102,113,91,136,3898,2551,22,4,1633,0,,0.003199,0.00297
12321a7e99268bd4b725c4a1,147beccf96db5e70,3c479f8b47354c76a1827a0744e0ae47,2026-08-10T14:07:21.360916+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/blowfish,1,0,30,-early-cse,-early-cse,0,[],IrInstructionCountO3,0.19583333333333333,9.52253420301521,0.11047904191616766,0.09645972293483839,0.0,9.52253420301521,True,False,False,,0.08550332486629486,,,ae3ca982f7cfe329696b91fa22feba31270193da,3898,,136,22,3898,2551,a14467854649d2cccd89f54453f29df534a79dab,3522,,136,22,3522,2239,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,933,201,337,77,590,0,183,93,231,33,101,114,120,159,457,43,168,1205,0,63,2,8,28,0,65,637,7,102,113,91,136,3898,2551,22,4,1633,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,846,130,321,77,590,0,183,93,231,32,102,57,120,159,410,43,168,941,0,63,2,8,21,0,65,636,7,102,113,91,136,3522,2239,22,4,1305,-376,,0.00334,0.002971
12321a7e99268bd4b725c4a1,043401a9a2f9d8fe,3c479f8b47354c76a1827a0744e0ae47,2026-08-10T14:07:21.360916+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/blowfish,1,1,21,-correlated-propagation,-correlated-propagation,1,[30],IrInstructionCountO3,0.0,17.246718276674525,0.28744530461124207,0.0,0.0,26.769252479689733,True,False,True,no_ir_change,0.0864177830517292,,,a14467854649d2cccd89f54453f29df534a79dab,3522,,136,22,3522,2239,f5dc9bfccb49308edcf3d2e98496a53135264ac3,3522,,136,22,3522,2239,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,846,130,321,77,590,0,183,93,231,32,102,57,120,159,410,43,168,941,0,63,2,8,21,0,65,636,7,102,113,91,136,3522,2239,22,4,1305,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,846,130,321,77,590,0,183,93,231,32,102,57,120,159,410,43,168,941,0,63,2,8,21,0,65,636,7,102,113,91,136,3522,2239,22,4,1305,0,,0.002971,0.002117
2519e2bcca828e803492322e,75c337495410f9bb,3c479f8b47354c76a1827a0744e0ae47,2026-08-10T14:07:21.360916+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/blowfish,2,0,15,-constmerge,-constmerge,0,[],IrInstructionCountO3,0.0,3.4826711749788672,0.058044519582981124,0.0,0.0,3.4826711749788672,True,True,True,action_no_effect,0.027574528008699417,,,ae3ca982f7cfe329696b91fa22feba31270193da,3898,,136,22,3898,2551,ae3ca982f7cfe329696b91fa22feba31270193da,3898,,136,22,3898,2551,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,933,201,337,77,590,0,183,93,231,33,101,114,120,159,457,43,168,1205,0,63,2,8,28,0,65,637,7,102,113,91,136,3898,2551,22,4,1633,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,933,201,337,77,590,0,183,93,231,33,101,114,120,159,457,43,168,1205,0,63,2,8,28,0,65,637,7,102,113,91,136,3898,2551,22,4,1633,0,,0.003549,0.003343
1cbab812c36664223641a382,2a8e1600ef1e989d,3c479f8b47354c76a1827a0744e0ae47,2026-08-10T14:07:21.360916+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/blowfish,3,0,77,-loop-unroll,-loop-unroll,0,[],IrInstructionCountO3,0.0,13.932021466905192,0.2322003577817532,0.0,0.0,13.932021466905192,True,True,True,action_no_effect,0.02071055769920349,,,ae3ca982f7cfe329696b91fa22feba31270193da,3898,,136,22,3898,2551,ae3ca982f7cfe329696b91fa22feba31270193da,3898,,136,22,3898,2551,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,933,201,337,77,590,0,183,93,231,33,101,114,120,159,457,43,168,1205,0,63,2,8,28,0,65,637,7,102,113,91,136,3898,2551,22,4,1633,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,933,201,337,77,590,0,183,93,231,33,101,114,120,159,457,43,168,1205,0,63,2,8,28,0,65,637,7,102,113,91,136,3898,2551,22,4,1633,0,,0.002795,0.002146
0bbe9c684924d497dc5994f9,eed8b0515f1185bc,3c479f8b47354c76a1827a0744e0ae47,2026-08-10T14:07:21.360916+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/blowfish,4,0,5,-argpromotion,-argpromotion,0,[],IrInstructionCountO3,0.0,-8.311944718657452,-0.1385324119776242,0.0,0.0,-8.311944718657452,True,True,True,action_no_effect,0.03737269714474678,,,ae3ca982f7cfe329696b91fa22feba31270193da,3898,,136,22,3898,2551,ae3ca982f7cfe329696b91fa22feba31270193da,3898,,136,22,3898,2551,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,933,201,337,77,590,0,183,93,231,33,101,114,120,159,457,43,168,1205,0,63,2,8,28,0,65,637,7,102,113,91,136,3898,2551,22,4,1633,0,2,75,49,18,77,53,27,20,43,0,2,0,134,2,120,15,38,181,373,933,201,337,77,590,0,183,93,231,33,101,114,120,159,457,43,168,1205,0,63,2,8,28,0,65,637,7,102,113,91,136,3898,2551,22,4,1633,0,,0.003039,0.00346
60b28c3960786143d554c1ea,a2a551091aa94e67,3c479f8b47354c76a1827a0744e0ae47,2026-08-10T14:07:21.360916+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/bzip2,0,0,79,-loop-vectorize,-loop-vectorize,0,[],IrInstructionCountO3,-0.0019835055851341477,6.498670176701092,0.10864162738266024,-0.0006609155419507444,0.0,6.498670176701092,True,False,False,,0.6114706918597221,,,49deb7a721cce9d543a7e756ae05d08d4437e266,28748,,3311,153,28748,19304,ff33660953dae92eb7a42bde5dfa80c8af1310f9,28767,,3330,153,28767,19304,0,16,2242,1401,769,1872,856,422,378,1248,102,16,0,3295,16,3117,309,704,4529,9201,2218,5042,2319,1872,1452,51,1053,773,151,396,2912,926,3117,1647,4146,1294,104,9363,30,98,16,101,782,17,147,3375,279,172,36,940,3311,28748,19304,153,32,12966,0,16,2250,1409,769,1891,872,435,380,1248,97,16,0,3314,16,3136,309,696,4548,9201,2218,5042,2319,1891,1452,51,1053,773,151,396,2931,926,3136,1647,4146,1294,104,9363,30,98,16,101,782,17,147,3375,279,172,36,940,3330,28767,19304,153,32,12966,19,,0.078064,0.069583
60b28c3960786143d554c1ea,232407a7a2d01b2f,3c479f8b47354c76a1827a0744e0ae47,2026-08-10T14:07:21.360916+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/bzip2,0,1,1,-adce,-adce,1,[79],IrInstructionCountO3,0.0017747155235410795,2.393308889709057,0.0395930040383428,0.0005909549136162964,0.0,8.891979066410148,True,False,False,,0.5864791013300419,,,ff33660953dae92eb7a42bde5dfa80c8af1310f9,28767,,3330,153,28767,19304,9e42b8f94726ccf97072e3af8e324f2979dabb34,28750,,3330,153,28750,19304,0,16,2250,1409,769,1891,872,435,380,1248,97,16,0,3314,16,3136,309,696,4548,9201,2218,5042,2319,1891,1452,51,1053,773,151,396,2931,926,3136,1647,4146,1294,104,9363,30,98,16,101,782,17,147,3375,279,172,36,940,3330,28767,19304,153,32,12966,0,16,2250,1409,769,1891,872,435,380,1248,97,16,0,3314,16,3136,309,696,4548,9201,2218,5042,2319,1891,1452,51,1053,773,151,396,2931,926,3136,1647,4146,1294,104,9363,30,98,16,101,782,17,147,3375,279,172,36,923,3330,28750,19304,153,32,12949,-17,,0.069583,0.066828
7c87e37c2d17669b07377dd7,2437089749b0efdc,3c479f8b47354c76a1827a0744e0ae47,2026-08-10T14:07:21.360916+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/bzip2,1,0,26,-dse,-dse,0,[],IrInstructionCountO3,0.0009395552771688068,5.930664194020388,0.09868787060531639,0.0003130652567135105,0.0,5.930664194020388,True,False,False,,0.6971997879445553,,,49deb7a721cce9d543a7e756ae05d08d4437e266,28748,,3311,153,28748,19304,1e397658644358833a4f98cff34c39ae85478dc9,28739,,3311,153,28739,19295,0,16,2242,1401,769,1872,856,422,378,1248,102,16,0,3295,16,3117,309,704,4529,9201,2218,5042,2319,1872,1452,51,1053,773,151,396,2912,926,3117,1647,4146,1294,104,9363,30,98,16,101,782,17,147,3375,279,172,36,940,3311,28748,19304,153,32,12966,0,16,2242,1401,769,1872,856,422,378,1248,102,16,0,3295,16,3117,309,704,4529,9197,2218,5042,2315,1872,1452,51,1053,769,151,396,2912,926,3117,1647,4146,1294,104,9363,30,98,16,101,782,17,147,3370,279,172,36,940,3311,28739,19295,153,32,12962,-9,,0.073697,0.066424
7c87e37c2d17669b07377dd7,35125860700a84f0,3c479f8b47354c76a1827a0744e0ae47,2026-08-10T14:07:21.360916+00:00,benchmark://cbench-v1,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://cbench-v1/bzip2,1,1,1,-adce,-adce,1,[26],IrInstructionCountO3,0.0017747155235410795,-7.588842060069946,-0.12677646633746836,0.0005915306726051707,0.0,-1.6581778660495576,True,False,False,,0.5682060979306698,,,1e397658644358833a4f98cff34c39ae85478dc9,28739,,3311,153,28739,19295,7387672e6990e7a15277811b621afc177d1af3b4,28722,,3311,153,28722,19295,0,16,2242,1401,769,1872,856,422,378,1248,102,16,0,3295,16,3117,309,704,4529,9197,2218,5042,2315,1872,1452,51,1053,769,151,396,2912,926,3117,1647,4146,1294,104,9363,30,98,16,101,782,17,147,3370,279,172,36,940,3311,28739,19295,153,32,12962,0,16,2242,1401,769,1872,856,422,378,1248,102,16,0,3295,16,3117,309,704,4529,9197,2218,5042,2315,1872,1452,51,1053,769,151,396,2912,926,3117,1647,4146,1294,104,9363,30,98,16,101,782,17,147,3370,279,172,36,923,3311,28722,19295,153,32,12945,-17,,0.066424,0.074845
