episode_id,benchmark_uri,step_index,pass_flag,done,hybrid_reward,runtime_improvement,pre_state_id,post_state_id,no_op,terminal_reason,start_state,available_actions,pre_runtime_median_sec,post_runtime_median_sec,pre_ir_instruction_count,pre_object_text_size_bytes,pre_total_basic_blocks,pre_total_functions,pre_total_instructions,pre_total_memory_instructions,post_ir_instruction_count,post_object_text_size_bytes,post_total_basic_blocks,post_total_functions,post_total_instructions,post_total_memory_instructions,pre_autophase_BBNumArgsHi,pre_autophase_BBNumArgsLo,pre_autophase_onePred,pre_autophase_onePredOneSuc,pre_autophase_onePredTwoSuc,pre_autophase_oneSuccessor,pre_autophase_twoPred,pre_autophase_twoPredOneSuc,pre_autophase_twoEach,pre_autophase_twoSuccessor,pre_autophase_morePreds,pre_autophase_BB03Phi,pre_autophase_BBHiPhi,pre_autophase_BBNoPhi,pre_autophase_BeginPhi,pre_autophase_BranchCount,pre_autophase_returnInt,pre_autophase_CriticalCount,pre_autophase_NumEdges,pre_autophase_const32Bit,pre_autophase_const64Bit,pre_autophase_numConstZeroes,pre_autophase_numConstOnes,pre_autophase_UncondBranches,pre_autophase_binaryConstArg,pre_autophase_NumAShrInst,pre_autophase_NumAddInst,pre_autophase_NumAllocaInst,pre_autophase_NumAndInst,pre_autophase_BlockMid,pre_autophase_BlockLow,pre_autophase_NumBitCastInst,pre_autophase_NumBrInst,pre_autophase_NumCallInst,pre_autophase_NumGetElementPtrInst,pre_autophase_NumICmpInst,pre_autophase_NumLShrInst,pre_autophase_NumLoadInst,pre_autophase_NumMulInst,pre_autophase_NumOrInst,pre_autophase_NumPHIInst,pre_autophase_NumRetInst,pre_autophase_NumSExtInst,pre_autophase_NumSelectInst,pre_autophase_NumShlInst,pre_autophase_NumStoreInst,pre_autophase_NumSubInst,pre_autophase_NumTruncInst,pre_autophase_NumXorInst,pre_autophase_NumZExtInst,pre_autophase_TotalBlocks,pre_autophase_TotalInsts,pre_autophase_TotalMemInst,pre_autophase_TotalFuncs,pre_autophase_ArgsPhi,pre_autophase_testUnary,post_autophase_BBNumArgsHi,post_autophase_BBNumArgsLo,post_autophase_onePred,post_autophase_onePredOneSuc,post_autophase_onePredTwoSuc,post_autophase_oneSuccessor,post_autophase_twoPred,post_autophase_twoPredOneSuc,post_autophase_twoEach,post_autophase_twoSuccessor,post_autophase_morePreds,post_autophase_BB03Phi,post_autophase_BBHiPhi,post_autophase_BBNoPhi,post_autophase_BeginPhi,post_autophase_BranchCount,post_autophase_returnInt,post_autophase_CriticalCount,post_autophase_NumEdges,post_autophase_const32Bit,post_autophase_const64Bit,post_autophase_numConstZeroes,post_autophase_numConstOnes,post_autophase_UncondBranches,post_autophase_binaryConstArg,post_autophase_NumAShrInst,post_autophase_NumAddInst,post_autophase_NumAllocaInst,post_autophase_NumAndInst,post_autophase_BlockMid,post_autophase_BlockLow,post_autophase_NumBitCastInst,post_autophase_NumBrInst,post_autophase_NumCallInst,post_autophase_NumGetElementPtrInst,post_autophase_NumICmpInst,post_autophase_NumLShrInst,post_autophase_NumLoadInst,post_autophase_NumMulInst,post_autophase_NumOrInst,post_autophase_NumPHIInst,post_autophase_NumRetInst,post_autophase_NumSExtInst,post_autophase_NumSelectInst,post_autophase_NumShlInst,post_autophase_NumStoreInst,post_autophase_NumSubInst,post_autophase_NumTruncInst,post_autophase_NumXorInst,post_autophase_NumZExtInst,post_autophase_TotalBlocks,post_autophase_TotalInsts,post_autophase_TotalMemInst,post_autophase_TotalFuncs,post_autophase_ArgsPhi,post_autophase_testUnary,pre_ir_per_func,pre_mem_frac,pre_size_per_inst,pre_blocks_per_func,pre_insts_per_block,post_ir_per_func,post_mem_frac,post_size_per_inst,post_blocks_per_func,post_insts_per_block
0a7e1f787d9798a8905bf713,benchmark://cbench-v1/patricia,0,-loop-rotate,False,14.791771,14.791771,25c7e7b0eb496f6cd1cd32139d76ad4f92aa82cd,e82fa4328aadf03893c2e0f6953d0400d54441a0,False,,o0,"[""-indvars"", ""-licm"", ""-loop-deletion"", ""-loop-distribute"", ""-loop-rotate"", ""-loop-unroll"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002283,0.001945,1282,5069,158,22,1282,888,1319,5245,165,22,1319,908,0,10,109,65,34,82,38,15,20,60,4,10,0,148,10,142,25,21,202,433,108,253,155,82,23,0,10,55,8,24,134,89,142,134,173,61,2,394,2,3,10,7,32,0,3,132,2,1,0,12,158,1282,888,22,20,584,0,10,110,62,39,83,44,19,21,66,4,10,0,155,10,149,25,32,215,442,108,257,155,83,23,0,10,55,8,25,140,89,149,135,177,67,2,409,2,3,10,7,32,0,3,132,2,1,0,16,165,1319,908,22,20,603,58.27272727272727,0.6926677067082684,3.953978159126365,7.181818181818182,8.113924050632912,59.95454545454545,0.6884003032600455,3.976497346474602,7.5,7.993939393939394
0a7e1f787d9798a8905bf713,benchmark://cbench-v1/patricia,1,-licm,False,0.042618,0.042618,e82fa4328aadf03893c2e0f6953d0400d54441a0,f80663c73b8e8a4a47eb55003b3e11ea6714150f,False,,o0,"[""-indvars"", ""-licm"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.001945,0.001944,1319,5245,165,22,1319,908,1344,7313,165,22,1344,886,0,10,110,62,39,83,44,19,21,66,4,10,0,155,10,149,25,32,215,442,108,257,155,83,23,0,10,55,8,25,140,89,149,135,177,67,2,409,2,3,10,7,32,0,3,132,2,1,0,16,165,1319,908,22,20,603,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,89,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1344,886,22,83,569,59.95454545454545,0.6884003032600455,3.976497346474602,7.5,7.993939393939394,61.09090909090909,0.6592261904761905,5.441220238095238,7.5,8.145454545454545
0a7e1f787d9798a8905bf713,benchmark://cbench-v1/patricia,2,-loop-deletion,False,-21.498763,-21.498763,f80663c73b8e8a4a47eb55003b3e11ea6714150f,f80663c73b8e8a4a47eb55003b3e11ea6714150f,True,,o0,"[""-indvars"", ""-licm"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.001944,0.002362,1344,7313,165,22,1344,886,1344,7313,165,22,1344,886,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,89,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1344,886,22,83,569,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,89,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1344,886,22,83,569,61.09090909090909,0.6592261904761905,5.441220238095238,7.5,8.145454545454545,61.09090909090909,0.6592261904761905,5.441220238095238,7.5,8.145454545454545
0a7e1f787d9798a8905bf713,benchmark://cbench-v1/patricia,3,-loop-distribute,False,-14.476139,-14.476139,f80663c73b8e8a4a47eb55003b3e11ea6714150f,f80663c73b8e8a4a47eb55003b3e11ea6714150f,True,,o0,"[""-indvars"", ""-licm"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002362,0.002704,1344,7313,165,22,1344,886,1344,7313,165,22,1344,886,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,89,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1344,886,22,83,569,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,89,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1344,886,22,83,569,61.09090909090909,0.6592261904761905,5.441220238095238,7.5,8.145454545454545,61.09090909090909,0.6592261904761905,5.441220238095238,7.5,8.145454545454545
0a7e1f787d9798a8905bf713,benchmark://cbench-v1/patricia,4,-loop-unroll,False,-13.725403,-13.725403,f80663c73b8e8a4a47eb55003b3e11ea6714150f,f80663c73b8e8a4a47eb55003b3e11ea6714150f,True,,o0,"[""-indvars"", ""-licm"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002704,0.003075,1344,7313,165,22,1344,886,1344,7313,165,22,1344,886,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,89,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1344,886,22,83,569,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,89,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1344,886,22,83,569,61.09090909090909,0.6592261904761905,5.441220238095238,7.5,8.145454545454545,61.09090909090909,0.6592261904761905,5.441220238095238,7.5,8.145454545454545
0a7e1f787d9798a8905bf713,benchmark://cbench-v1/patricia,5,-licm,False,30.457721,30.457721,f80663c73b8e8a4a47eb55003b3e11ea6714150f,4804e2fa02fa945714c72fd229197bbae99bd5a1,False,,o0,"[""-indvars"", ""-loop-deletion"", ""-loop-distribute"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.003075,0.002138,1344,7313,165,22,1344,886,1347,7345,165,22,1347,886,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,89,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1344,886,22,83,569,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,92,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1347,886,22,83,572,61.09090909090909,0.6592261904761905,5.441220238095238,7.5,8.145454545454545,61.22727272727273,0.6577579806978471,5.452858203414996,7.5,8.163636363636364
0a7e1f787d9798a8905bf713,benchmark://cbench-v1/patricia,6,-loop-unroll,False,-12.513610,-12.513610,4804e2fa02fa945714c72fd229197bbae99bd5a1,4804e2fa02fa945714c72fd229197bbae99bd5a1,True,,o0,"[""-indvars"", ""-loop-deletion"", ""-loop-distribute"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002138,0.002406,1347,7345,165,22,1347,886,1347,7345,165,22,1347,886,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,92,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1347,886,22,83,572,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,92,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1347,886,22,83,572,61.22727272727273,0.6577579806978471,5.452858203414996,7.5,8.163636363636364,61.22727272727273,0.6577579806978471,5.452858203414996,7.5,8.163636363636364
0a7e1f787d9798a8905bf713,benchmark://cbench-v1/patricia,7,-licm,False,-15.201330,-15.201330,4804e2fa02fa945714c72fd229197bbae99bd5a1,4804e2fa02fa945714c72fd229197bbae99bd5a1,True,,o0,"[""-indvars"", ""-loop-deletion"", ""-loop-distribute"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002406,0.002772,1347,7345,165,22,1347,886,1347,7345,165,22,1347,886,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,92,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1347,886,22,83,572,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,92,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1347,886,22,83,572,61.22727272727273,0.6577579806978471,5.452858203414996,7.5,8.163636363636364,61.22727272727273,0.6577579806978471,5.452858203414996,7.5,8.163636363636364
0a7e1f787d9798a8905bf713,benchmark://cbench-v1/patricia,8,-loop-unswitch,False,14.518217,14.518217,4804e2fa02fa945714c72fd229197bbae99bd5a1,799530abf9ee9cee8956b5dc89ee4cfb235174b0,False,,o0,"[""-indvars"", ""-licm"", ""-loop-distribute"", ""-loop-rotate"", ""-loop-unroll"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002772,0.002369,1347,7345,165,22,1347,886,1457,8753,187,22,1457,925,0,35,110,62,39,83,44,19,21,66,4,35,0,130,35,149,25,32,215,442,108,257,155,83,23,0,10,55,8,23,142,92,149,135,177,67,2,375,2,3,57,7,32,0,3,144,2,1,0,16,165,1347,886,22,83,572,5,42,124,74,45,97,52,21,23,74,4,47,0,140,47,171,28,35,245,465,114,278,165,97,23,0,10,55,8,25,162,98,171,147,188,73,2,387,2,3,90,7,32,0,3,148,2,1,0,19,187,1457,925,22,134,594,61.22727272727273,0.6577579806978471,5.452858203414996,7.5,8.163636363636364,66.22727272727273,0.634866163349348,6.00754975978037,8.5,7.791443850267379
0a7e1f787d9798a8905bf713,benchmark://cbench-v1/patricia,9,-loop-deletion,True,7.465583,7.465583,799530abf9ee9cee8956b5dc89ee4cfb235174b0,799530abf9ee9cee8956b5dc89ee4cfb235174b0,True,max_steps,o0,"[""-indvars"", ""-licm"", ""-loop-distribute"", ""-loop-rotate"", ""-loop-unroll"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002369,0.002193,1457,8753,187,22,1457,925,1457,8753,187,22,1457,925,5,42,124,74,45,97,52,21,23,74,4,47,0,140,47,171,28,35,245,465,114,278,165,97,23,0,10,55,8,25,162,98,171,147,188,73,2,387,2,3,90,7,32,0,3,148,2,1,0,19,187,1457,925,22,134,594,5,42,124,74,45,97,52,21,23,74,4,47,0,140,47,171,28,35,245,465,114,278,165,97,23,0,10,55,8,25,162,98,171,147,188,73,2,387,2,3,90,7,32,0,3,148,2,1,0,19,187,1457,925,22,134,594,66.22727272727273,0.634866163349348,6.00754975978037,8.5,7.791443850267379,66.22727272727273,0.634866163349348,6.00754975978037,8.5,7.791443850267379
