episode_id,transition_key,run_id,generated_at_utc,benchmark_suite,compiler_gym_version,compiler_version,host_name,python_version,benchmark_uri,episode_index,step_index,pass_id,pass_name,pass_flag,pass_position,previous_pass_sequence,reward_space,raw_step_reward,hybrid_reward,runtime_improvement,ir_improvement,size_improvement,cumulative_reward,pass_success,action_had_no_effect,done,termination_reason,step_walltime_sec,error_type,error_message,pre_state_id,pre_ir_instruction_count,pre_object_text_size_bytes,pre_total_basic_blocks,pre_total_functions,pre_total_instructions,pre_total_memory_instructions,post_state_id,post_ir_instruction_count,post_object_text_size_bytes,post_total_basic_blocks,post_total_functions,post_total_instructions,post_total_memory_instructions,pre_autophase_BBNumArgsHi,pre_autophase_BBNumArgsLo,pre_autophase_onePred,pre_autophase_onePredOneSuc,pre_autophase_onePredTwoSuc,pre_autophase_oneSuccessor,pre_autophase_twoPred,pre_autophase_twoPredOneSuc,pre_autophase_twoEach,pre_autophase_twoSuccessor,pre_autophase_morePreds,pre_autophase_BB03Phi,pre_autophase_BBHiPhi,pre_autophase_BBNoPhi,pre_autophase_BeginPhi,pre_autophase_BranchCount,pre_autophase_returnInt,pre_autophase_CriticalCount,pre_autophase_NumEdges,pre_autophase_const32Bit,pre_autophase_const64Bit,pre_autophase_numConstZeroes,pre_autophase_numConstOnes,pre_autophase_UncondBranches,pre_autophase_binaryConstArg,pre_autophase_NumAShrInst,pre_autophase_NumAddInst,pre_autophase_NumAllocaInst,pre_autophase_NumAndInst,pre_autophase_BlockMid,pre_autophase_BlockLow,pre_autophase_NumBitCastInst,pre_autophase_NumBrInst,pre_autophase_NumCallInst,pre_autophase_NumGetElementPtrInst,pre_autophase_NumICmpInst,pre_autophase_NumLShrInst,pre_autophase_NumLoadInst,pre_autophase_NumMulInst,pre_autophase_NumOrInst,pre_autophase_NumPHIInst,pre_autophase_NumRetInst,pre_autophase_NumSExtInst,pre_autophase_NumSelectInst,pre_autophase_NumShlInst,pre_autophase_NumStoreInst,pre_autophase_NumSubInst,pre_autophase_NumTruncInst,pre_autophase_NumXorInst,pre_autophase_NumZExtInst,pre_autophase_TotalBlocks,pre_autophase_TotalInsts,pre_autophase_TotalMemInst,pre_autophase_TotalFuncs,pre_autophase_ArgsPhi,pre_autophase_testUnary,post_autophase_BBNumArgsHi,post_autophase_BBNumArgsLo,post_autophase_onePred,post_autophase_onePredOneSuc,post_autophase_onePredTwoSuc,post_autophase_oneSuccessor,post_autophase_twoPred,post_autophase_twoPredOneSuc,post_autophase_twoEach,post_autophase_twoSuccessor,post_autophase_morePreds,post_autophase_BB03Phi,post_autophase_BBHiPhi,post_autophase_BBNoPhi,post_autophase_BeginPhi,post_autophase_BranchCount,post_autophase_returnInt,post_autophase_CriticalCount,post_autophase_NumEdges,post_autophase_const32Bit,post_autophase_const64Bit,post_autophase_numConstZeroes,post_autophase_numConstOnes,post_autophase_UncondBranches,post_autophase_binaryConstArg,post_autophase_NumAShrInst,post_autophase_NumAddInst,post_autophase_NumAllocaInst,post_autophase_NumAndInst,post_autophase_BlockMid,post_autophase_BlockLow,post_autophase_NumBitCastInst,post_autophase_NumBrInst,post_autophase_NumCallInst,post_autophase_NumGetElementPtrInst,post_autophase_NumICmpInst,post_autophase_NumLShrInst,post_autophase_NumLoadInst,post_autophase_NumMulInst,post_autophase_NumOrInst,post_autophase_NumPHIInst,post_autophase_NumRetInst,post_autophase_NumSExtInst,post_autophase_NumSelectInst,post_autophase_NumShlInst,post_autophase_NumStoreInst,post_autophase_NumSubInst,post_autophase_NumTruncInst,post_autophase_NumXorInst,post_autophase_NumZExtInst,post_autophase_TotalBlocks,post_autophase_TotalInsts,post_autophase_TotalMemInst,post_autophase_TotalFuncs,post_autophase_ArgsPhi,post_autophase_testUnary,delta_ir_instruction_count,delta_object_text_size_bytes,pre_runtime_median_sec,post_runtime_median_sec
4e2822d4f704e84b4d3f4f81,8fe414540cc1b714,fe04eec045224846a0904789498395c7,2026-08-10T16:12:07.845465+00:00,benchmark://blas-v0,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://blas-v0/168,0,0,1,-adce,-adce,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.0018410608172416687,,,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,0,,,
51e750b0b634f538d49d8a34,1b55f2c9fb914953,fe04eec045224846a0904789498395c7,2026-08-10T16:12:07.845465+00:00,benchmark://blas-v0,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://blas-v0/168,1,0,5,-argpromotion,-argpromotion,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.0038265734910964966,,,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,0,,,
bd500b1358761dad406fabb1,f50af2ab4e22ac1f,fe04eec045224846a0904789498395c7,2026-08-10T16:12:07.845465+00:00,benchmark://blas-v0,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://blas-v0/168,2,0,105,-reassociate,-reassociate,0,[],IrInstructionCountO3,-4.0,-0.29940119760479034,0.0,-0.003992015968063872,0.0,-0.29940119760479034,True,False,False,,0.09821417182683945,,,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,820a7dd262086e046eb6f05230e9b8a68d0ae985,1006,,120,4,1006,199,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,125,48,122,39,123,0,168,1,13,24,96,95,119,8,69,78,0,84,24,8,78,1,22,11,0,37,36,13,8,15,120,1006,199,4,156,230,4,,,
bd500b1358761dad406fabb1,60a77fc715898b95,fe04eec045224846a0904789498395c7,2026-08-10T16:12:07.845465+00:00,benchmark://blas-v0,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://blas-v0/168,2,1,97,-newgvn,-newgvn,1,[105],IrInstructionCountO3,110.0,8.200795228628229,0.0,0.10934393638170974,0.0,7.901394031023438,True,False,False,,0.1987185962498188,,,820a7dd262086e046eb6f05230e9b8a68d0ae985,1006,,120,4,1006,199,efb85e9f63a0afa0a85fc5e8894a6893d5639d82,896,,120,4,896,199,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,125,48,122,39,123,0,168,1,13,24,96,95,119,8,69,78,0,84,24,8,78,1,22,11,0,37,36,13,8,15,120,1006,199,4,156,230,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,110,110,35,107,39,93,0,141,1,8,24,96,83,119,8,69,63,0,84,24,8,78,1,22,6,0,37,26,8,3,5,120,896,199,4,156,203,-110,,,
bd500b1358761dad406fabb1,6fe34d7c960b2f96,fe04eec045224846a0904789498395c7,2026-08-10T16:12:07.845465+00:00,benchmark://blas-v0,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://blas-v0/168,2,2,99,-partial-inliner,-partial-inliner,2,"[105, 97]",IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,7.901394031023438,True,True,True,action_no_effect,0.002338297665119171,,,efb85e9f63a0afa0a85fc5e8894a6893d5639d82,896,,120,4,896,199,efb85e9f63a0afa0a85fc5e8894a6893d5639d82,896,,120,4,896,199,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,110,110,35,107,39,93,0,141,1,8,24,96,83,119,8,69,63,0,84,24,8,78,1,22,6,0,37,26,8,3,5,120,896,199,4,156,203,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,110,110,35,107,39,93,0,141,1,8,24,96,83,119,8,69,63,0,84,24,8,78,1,22,6,0,37,26,8,3,5,120,896,199,4,156,203,0,,,
92b20c1324e9869a0bfb0602,4be5aca383ccd7d2,fe04eec045224846a0904789498395c7,2026-08-10T16:12:07.845465+00:00,benchmark://blas-v0,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://blas-v0/168,3,0,5,-argpromotion,-argpromotion,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.0022331885993480682,,,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,0,,,
fcd9fd0dd0e0e7a7c8fd55b3,9868b57510b50383,fe04eec045224846a0904789498395c7,2026-08-10T16:12:07.845465+00:00,benchmark://blas-v0,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://blas-v0/168,4,0,90,-memcpyopt,-memcpyopt,0,[],IrInstructionCountO3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,action_no_effect,0.09807427227497101,,,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,0,,,
982224dc4f32e352b3f4a495,5baf2efc5fdce180,fe04eec045224846a0904789498395c7,2026-08-10T16:12:07.845465+00:00,benchmark://blas-v0,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://blas-v0/168,5,0,78,-loop-unswitch,-loop-unswitch,0,[],IrInstructionCountO3,-426.0,-31.886227544910177,0.0,-0.4251497005988024,0.0,-31.886227544910177,True,False,False,,0.10101022943854332,,,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,0a409220b9f71b6a97be14cf92ea65b672b84072,1428,,222,4,1428,285,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,5,65,129,85,44,105,85,19,66,116,7,70,0,152,70,221,0,109,337,185,171,65,166,105,155,0,208,1,13,34,188,141,221,8,103,96,0,118,31,14,124,1,22,11,1,55,56,13,8,15,222,1428,285,4,244,310,426,,,
3054efd354ec189d6943be17,1afec060aac115e0,fe04eec045224846a0904789498395c7,2026-08-10T16:12:07.845465+00:00,benchmark://blas-v0,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://blas-v0/168,6,0,71,-loop-rotate,-loop-rotate,0,[],IrInstructionCountO3,-28.0,-2.0958083832335324,0.0,-0.027944111776447105,0.0,-2.0958083832335324,True,False,False,,0.09720008075237274,,,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,73e4c60942814767cd5bdaa9788b8b81c03dac23,1030,,144,4,1030,199,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,5,41,87,55,32,63,49,7,42,80,7,46,0,98,46,143,0,73,223,153,121,44,122,63,119,0,154,1,13,24,120,95,143,8,69,78,0,84,23,8,82,1,22,11,1,37,46,13,8,15,144,1030,199,4,160,230,28,,,
6bd4678c14a253f7fc92270a,90819669ef3a9202,fe04eec045224846a0904789498395c7,2026-08-10T16:12:07.845465+00:00,benchmark://blas-v0,0.2.5,10.0.0 x86_64-unknown-linux-gnu,76e7858e-a631-41cd-b7f6-29d0024630e7,3.10.12,benchmark://blas-v0/168,7,0,30,-early-cse,-early-cse,0,[],IrInstructionCountO3,108.0,8.08383233532934,0.0,0.10778443113772455,0.0,8.08383233532934,True,False,False,,0.0037307776510715485,,,f29211f2ebe420ce23e0498219ae92d928629d9c,1002,,120,4,1002,199,1107bf751e70c6ed6ab92f17ef94331059466a45,894,,120,4,894,199,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,153,121,44,122,39,119,0,154,1,13,24,96,95,119,8,69,78,0,84,23,8,78,1,22,11,1,37,46,13,8,15,120,1002,199,4,156,230,5,37,63,31,32,39,49,7,42,80,7,42,0,78,42,119,0,97,199,110,106,31,107,39,89,0,129,1,8,24,96,83,119,8,69,63,0,84,23,8,78,1,22,6,1,37,36,8,3,5,120,894,199,4,156,203,-108,,,
